"http://beta.congress.gov/bill/113th-congress/house-bill/2167","113-HR-2167: To authorize the Secretary of Housing and Urban Development to establish additional requirements to improve the fiscal safety and soundness of the home equity conversion mortgage insurance program."
"http://beta.congress.gov/bill/113th-congress/house-bill/2203","113-HR-2203: To provide for the award of a gold medal on behalf of Congress to Jack Nicklaus, in recognition of his service to the Nation in promoting excellence, good sportsmanship, and philanthropy."
"http://beta.congress.gov/bill/113th-congress/house-bill/2223","113-HR-2223: To designate the facility of the United States Postal Service located at 220 Elm Avenue in Munising, Michigan, as the Elizabeth L. Kinnunen Post Office Building."
"http://beta.congress.gov/bill/113th-congress/house-bill/2251","113-HR-2251: To designate the United States courthouse and Federal building located at 118 South Mill Street, in Fergus Falls, Minnesota, as the Edward J. Devitt United States Courthouse and Federal Building.."
"http://beta.congress.gov/bill/113th-congress/house-bill/2289","113-HR-2289: To rename section 219(c) of the Internal Revenue Code of 1986 as the Kay Bailey Hutchison Spousal IRA."
"http://beta.congress.gov/bill/113th-congress/house-bill/2291","113-HR-2291: To designate the facility of the United States Postal Service located at 450 Lexington Avenue in New York, New York, as the Vincent R. Sombrotto Post Office."
"http://beta.congress.gov/bill/113th-congress/house-bill/2319","113-HR-2319: To clarify certain provisions of the Native American Veterans Memorial Establishment Act of 1994."
"http://beta.congress.gov/bill/113th-congress/house-bill/2337","113-HR-2337: To provide for the conveyance of the Forest Service Lake Hill Administrative Site in Summit County, Colorado."
"http://beta.congress.gov/bill/113th-congress/house-bill/2366","113-HR-2366: To require the Secretary of the Treasury to mint coins in commemoration of the centennial of World War I."
"http://beta.congress.gov/bill/113th-congress/house-bill/2383","113-HR-2383: To designate the new Interstate Route 70 bridge over the Mississippi River connecting St. Louis, Missouri, and southwestern Illinois as the Stan Musial Veterans Memorial Bridge."
"http://beta.congress.gov/bill/113th-congress/house-bill/2388","113-HR-2388: To take certain Federal lands located in El Dorado County, California, into trust for the benefit of the Shingle Springs Band of Miwok Indians, and for other purposes."
"http://beta.congress.gov/bill/113th-congress/house-bill/2391","113-HR-2391: To designate the facility of the United States Postal Service located at 5323 Highway N in Cottleville, Missouri as the Lance Corporal Phillip Vinnedge Post Office."
"http://beta.congress.gov/bill/113th-congress/house-bill/2431","113-HR-2431: To reauthorize the National Integrated Drought Information System."
